new pdp url,old image url,display order,image type,old position,product
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-3.jpg,6,Feature: dual side pockets & no-mark waistband,3,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-6.jpg,7,Comparison chart: inner vs outer boxers,6,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-ultra-light-boxer-shorts-striped-blue,https://img.damensch.com/products-old/catalog-bs-striped-blue-7.jpg,8,Size chart / measurements,7,Breeeze Ultra Light Boxer Shorts Striped Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/relaxed-pyjamas-colombo-blue-1.jpg,8,Back - model (cropped),1,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/relaxed-pyjamas-colombo-blue-5.jpg,9,Detail: drawstring waistband,7,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/breeeze-lounge-pyjama-colombo-blue,https://img.damensch.com/products-old/breeeze-lounge-pyjamas-measure-cards-solids-new.jpg,10,Size chart,9,Breeeze Lounge Pyjama Colombo Blue
https://www.damensch.com/p/inner-boxer-relaxed-green,https://img.damensch.com/products-old/card-inner-boxers-solid-feature2-new.jpg,9,Logo may vary (old/new look),3,Inner Boxer Relaxed Green
https://www.damensch.com/p/inner-boxer-relaxed-green,https://img.damensch.com/products-old/card-inner-boxers-solid-measurement.jpg,10,Size chart,8,Inner Boxer Relaxed Green
https://www.damensch.com/p/raw-edge-t-shirt-dusty-pink,https://img.damensch.com/products-old/1522087_milky-brown_8.jpg,8,Hem & logo detail,4,Raw Edge T Shirt Dusty Pink
https://www.damensch.com/p/raw-edge-t-shirt-dusty-pink,https://img.damensch.com/products-old/1522087_milky-brown_7.jpg,9,Sleeve detail,8,Raw Edge T Shirt Dusty Pink
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-3.jpg,7,Feature: 4-way stretch & extra-soft,3,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-7.jpg,8,Comparison chart (Deo-Soft),7,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-deo-cotton-range-card-new.jpg,9,Comparison chart (Deo-Cotton),8,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/value-deal-deo-cotton-trunks-brick-black-hazy-black-ivy-black,https://img.damensch.com/products-old/catalog-brickblack-hazyblack-ivyblack-pack-of-3-trunks-9.jpg,10,Pack of 3 packaging,9,Value Deal Deo Cotton Trunks Brick Black Hazy Black Ivy Black
https://www.damensch.com/p/gym-supporter-turbo-black,https://img.damensch.com/products-old/catalog-gym-support-black-7.jpg,8,Three-quarter - model,7,Gym Supporter Turbo Black
https://www.damensch.com/p/gym-supporter-turbo-black,https://img.damensch.com/products-old/catalog-gym-support-black-9.jpg,9,Size chart,9,Gym Supporter Turbo Black
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-1.jpg,4,"Three-quarter - model, foot on stool",1,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-3.jpg,5,"Side - shorts on model, hand in pocket",3,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-4.jpg,6,Back - shorts on model,4,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-5.jpg,7,Detail: waistband & pocket,5,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-6.jpg,8,Full-length front - lifestyle,6,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/constant-chino-shorts-rifle-green-m,https://img.damensch.com/products-old/chino-shorts-lg-7.jpg,9,"Fit guide - Regular fit, model 6'2""",7,Constant Chino Shorts Rifle Green M
https://www.damensch.com/p/breeeze-lounge-pyjama-las-grey,https://img.damensch.com/products-old/relaxed-pyjamas-las-grey-5.jpg,8,Detail: waistband drawstring closeup,7,Breeeze Lounge Pyjama Las Grey
https://www.damensch.com/p/breeeze-lounge-pyjama-las-grey,https://img.damensch.com/products-old/breeeze-lounge-pyjamas-measure-cards-solids-new.jpg,9,Size chart,9,Breeeze Lounge Pyjama Las Grey
https://www.damensch.com/p/constant-chino-shorts-jim-blue,https://img.damensch.com/products-old/chino-shorts-jb-5.jpg,8,Detail: waistband & pocket,5,Constant Chino Shorts Jim Blue
https://www.damensch.com/p/constant-chino-shorts-jim-blue,https://img.damensch.com/products-old/chino-shorts-jb-7.jpg,9,Fit guide,7,Constant Chino Shorts Jim Blue
https://www.damensch.com/p/statement-elemental-track-pant-horizon-blue,https://img.damensch.com/products-old/pjersey-track-pants-horizon_blue4.jpg,7,Fit guide - full body,4,Statement Elemental Track Pant Horizon Blue
https://www.damensch.com/p/statement-elemental-track-pant-horizon-blue,https://img.damensch.com/products-old/pjersey-track-pants-horizon_blue1.jpg,8,Side - model walking,6,Statement Elemental Track Pant Horizon Blue
https://www.damensch.com/p/trunk-bold-complete-black,https://img.damensch.com/products-old/card-ds-t-solid-feature2.jpg,8,Feature: 5x odour-cancellation + sustainably sourced,3,Trunk Bold Complete Black
https://www.damensch.com/p/trunk-bold-complete-black,https://img.damensch.com/products-old/card-ds-t-solid-measurement.jpg,9,Size chart - measurements,8,Trunk Bold Complete Black
https://www.damensch.com/p/inner-boxer-camo-grey,https://img.damensch.com/products-old/card-inner-boxers-print-feature2.jpg,8,"Feature: concealed button fly, side slits",3,Inner Boxer Camo Grey
https://www.damensch.com/p/inner-boxer-camo-grey,https://img.damensch.com/products-old/card-inner-boxers-print-range.jpg,9,Comparison chart - range of boxers,7,Inner Boxer Camo Grey
https://www.damensch.com/p/inner-boxer-camo-grey,https://img.damensch.com/products-old/card-inner-boxers-print-measurement.jpg,10,Size chart - measurements,8,Inner Boxer Camo Grey
https://www.damensch.com/p/shirt-full-sleeves-charcoal-grey,https://img.damensch.com/products-old/knit_shirts_(fs)-charcoal_grey_(10).jpg,8,Fit guide - full length with specs,6,Shirt Full Sleeves Charcoal Grey
https://www.damensch.com/p/shirt-full-sleeves-charcoal-grey,https://img.damensch.com/products-old/card-fs-shirt-measurement.jpg,9,Size & fit chart,7,Shirt Full Sleeves Charcoal Grey
https://www.damensch.com/p/the-stretch-pyjama-pants-doze-grey,https://img.damensch.com/products-old/1284735_pajama-doze-grey_5.jpg,8,Lifestyle - reading on stool,3,The Stretch Pyjama Pants Doze Grey
https://www.damensch.com/p/the-stretch-pyjama-pants-doze-grey,https://img.damensch.com/products-old/1284735_pajama-doze-grey_7.jpg,9,Waistband logo detail,4,The Stretch Pyjama Pants Doze Grey
https://www.damensch.com/p/the-stretch-pyjama-pants-doze-grey,https://img.damensch.com/products-old/1284735_pajama-doze-grey_8.jpg,10,Flatlay with packaging,9,The Stretch Pyjama Pants Doze Grey
https://www.damensch.com/p/the-stretch-pyjama-pants-doze-grey,https://img.damensch.com/products-old/dam-sld-pjm-dog-s_insta.jpg,11,Waistband logo detail,10,The Stretch Pyjama Pants Doze Grey
https://www.damensch.com/p/lounge-shorts-forest-green,https://img.damensch.com/products-old/1547164_pajama-forest-green_5xy.jpg,8,Lifestyle - model on skateboard,1,Lounge Shorts Forest Green
https://www.damensch.com/p/lounge-shorts-forest-green,https://img.damensch.com/products-old/easy_lounge_shorts-_forest_green_(5).jpg,9,Drawstring closeup,6,Lounge Shorts Forest Green
https://www.damensch.com/p/lounge-shorts-forest-green,https://img.damensch.com/products-old/easy_lounge_shorts-_forest_green_(2).jpg,10,Back pocket branding closeup,7,Lounge Shorts Forest Green
https://www.damensch.com/p/johnny-collar-pique-polo-fs-zion-brown,https://img.damensch.com/products-old/catalog-pique-fsp-zion-brown-new-8.jpg,10,Fit guide,8,Johnny Collar Pique Polo Fs Zion Brown
https://www.damensch.com/p/johnny-collar-pique-polo-fs-zion-brown,https://img.damensch.com/products-old/catalog-pique-fsp-zion-brown-new-9.jpg,11,Size chart,9,Johnny Collar Pique Polo Fs Zion Brown
https://www.damensch.com/p/swim-shorts-dive-green,https://img.damensch.com/products-old/catalog-swim-shorts-measurement-card-1.jpg,8,Size & fit chart,7,Swim Shorts Dive Green
https://www.damensch.com/p/breeeze-pocket-t-shirt-fusion-teal,https://img.damensch.com/products-old/breeeze-t-shirt-fusion-teal_(8).jpg,8,Detail - pocket closeup,7,Breeeze Pocket T Shirt Fusion Teal
https://www.damensch.com/p/pyjama-pants-slumber-maroon,https://img.damensch.com/products-old/1284735_pajama-slumber-maroon_8.jpg,15,Flatlay with pack box,8,Pyjama Pants Slumber Maroon
https://www.damensch.com/p/swim-shorts-drift-black,https://img.damensch.com/products-old/catalog-swim-shorts-measurement-card-1.jpg,9,Size chart,7,Swim Shorts Drift Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-5.jpg,6,Feature: Compact,5,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-6.jpg,7,Feature: Endless flow,6,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-7.jpg,8,Feature: Endless lightness,7,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-8.jpg,9,Feature: Limitless stretch,8,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-9.jpg,10,Size chart,9,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/bonded-solid-boxer-briefs-quantum-black,https://img.damensch.com/products-old/catalog-bonded-bb-black-10.jpg,11,Pack shot - pouch,10,Bonded Solid Boxer Briefs Quantum Black
https://www.damensch.com/p/neo-cotton-pinstripe-vest-da-white,https://img.damensch.com/products-old/card-pinstripe-vests-feature1.jpg,7,Feature: Ultra soft / Retains shape,2,Neo Cotton Pinstripe Vest Da White
https://www.damensch.com/p/neo-cotton-pinstripe-vest-da-white,https://img.damensch.com/products-old/card-pinstripe-vests-feature2.jpg,8,Feature: Anti-odour / Better fit,3,Neo Cotton Pinstripe Vest Da White
https://www.damensch.com/p/neo-cotton-pinstripe-vest-da-white,https://img.damensch.com/products-old/pinstripe-vests-da_white8.jpg,9,Lifestyle - open shirt styling,7,Neo Cotton Pinstripe Vest Da White
https://www.damensch.com/p/neo-cotton-pinstripe-vest-da-white,https://img.damensch.com/products-old/card-pinstripe-vests-measurement.png,10,Size chart,8,Neo Cotton Pinstripe Vest Da White
https://www.damensch.com/p/the-long-weekender-6-trunks,https://img.damensch.com/products-old/dctrunk-long-weekender-box61.png,5,Pack of 3 - gift box,1,The Long Weekender 6 Trunks
https://www.damensch.com/p/the-long-weekender-6-trunks,https://img.damensch.com/products-old/dctrunk-long-weekender-box62.png,6,Flatlay - 3 trunks with colour names,2,The Long Weekender 6 Trunks
https://www.damensch.com/p/the-long-weekender-6-trunks,https://img.damensch.com/products-old/dctrunk-long-weekender-box64.png,7,Brand story - boxes,4,The Long Weekender 6 Trunks
https://www.damensch.com/p/shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-black-hs-5.jpg,7,Fabric stretch comparison + takes shape,6,Shapewear Vest Sleek Black
https://www.damensch.com/p/shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-new-s-size.jpg,8,Size chart,8,Shapewear Vest Sleek Black
https://www.damensch.com/p/shapewear-vest-sleek-black,https://img.damensch.com/products-old/catalog-shapewear-2-0-evised-black-hs-10.jpg,9,FAQs,9,Shapewear Vest Sleek Black
https://www.damensch.com/p/trunk-misty-blue,https://img.damensch.com/products-old/card-ds-t-printed-feature2.jpg,8,Feature: 5x odour-cancellation / sustainably sourced,3,Trunk Misty Blue
https://www.damensch.com/p/trunk-misty-blue,https://img.damensch.com/products-old/card-ds-t-printed-measurement.jpg,9,Size chart,8,Trunk Misty Blue
https://www.damensch.com/p/brief-bold-complete-black,https://img.damensch.com/products-old/card-ds-b-solid-feature2.jpg,8,Feature: 5x odour-cancellation / sustainable,3,Brief Bold Complete Black
https://www.damensch.com/p/brief-bold-complete-black,https://img.damensch.com/products-old/card-ds-b-solid-measurement.jpg,9,Size chart,8,Brief Bold Complete Black
https://www.damensch.com/p/shirt-half-sleeves-clear-grey,https://img.damensch.com/products-old/pique_shirt-hs-clear_grey_(2).jpg,8,Fit guide - full length w/ specs,6,Shirt Half Sleeves Clear Grey
https://www.damensch.com/p/shirt-half-sleeves-clear-grey,https://img.damensch.com/products-old/card-hs-shirt-measurement.jpg,9,Size chart,7,Shirt Half Sleeves Clear Grey
https://www.damensch.com/p/breeeze-solid-t-shirt-sleek-grey,https://img.damensch.com/products-old/breeeze-tee-add-sleek_grey8.jpg,8,Lifestyle - fabric drape closeup,7,Breeeze Solid T Shirt Sleek Grey
https://www.damensch.com/p/breeeze-solid-t-shirt-sleek-grey,https://img.damensch.com/products-old/breeeze-tee-add-sleek_grey7.jpg,9,Detail - hem & DaMENSCH label,8,Breeeze Solid T Shirt Sleek Grey
https://www.damensch.com/p/raw-edge-t-shirt-neo-white,https://img.damensch.com/products-old/catalog-fluid-contrast-stitch-t-shirt-beach-white-5.jpg,8,Detail - chest logo & sleeve stitch,5,Raw Edge T Shirt Neo White
https://www.damensch.com/p/oversized-solid-t-shirt-jet-black,https://img.damensch.com/products-old/catalog-over-sized-tees-jet-black-3.jpg,9,Front - model (alt pose),3,Oversized Solid T Shirt Jet Black
https://www.damensch.com/p/oversized-solid-t-shirt-jet-black,https://img.damensch.com/products-old/catalog-over-sized-tees-jet-black-5.jpg,10,Detail: chest logo/collar,5,Oversized Solid T Shirt Jet Black
https://www.damensch.com/p/oversized-solid-t-shirt-jet-black,https://img.damensch.com/products-old/catalog-over-sized-tees-jet-black-7.jpg,11,Fit guide - full length w/ text,7,Oversized Solid T Shirt Jet Black
https://www.damensch.com/p/shirt-half-sleeves-plush-mauve,https://img.damensch.com/products-old/pique_shirt-hs-plush_mauve_(2).jpg,8,Fit guide - model with stats,6,Shirt Half Sleeves Plush Mauve
https://www.damensch.com/p/shirt-half-sleeves-plush-mauve,https://img.damensch.com/products-old/card-hs-shirt-measurement.jpg,9,Size chart,7,Shirt Half Sleeves Plush Mauve
https://www.damensch.com/p/raw-edge-t-shirt-olive-green,https://img.damensch.com/products-old/updated_fluid_t-shirts-_olive_green_(8).jpg,8,Full-body front w/ fit text,2,Raw Edge T Shirt Olive Green
https://www.damensch.com/p/raw-edge-t-shirt-olive-green,https://img.damensch.com/products-old/updated_fluid_t-shirts-_olive_green_(5).jpg,9,Sleeve/raw edge closeup,7,Raw Edge T Shirt Olive Green
https://www.damensch.com/p/raw-edge-t-shirt-olive-green,https://img.damensch.com/products-old/updated_fluid_t-shirts-_olive_green_(10).jpg,10,Hem & DaMENSCH logo closeup,8,Raw Edge T Shirt Olive Green
https://www.damensch.com/p/pyjama-pants-houndstooth-black-print,https://img.damensch.com/products-old/1284735_pajama-houndstooth-black-print_5.jpg,8,Detail: drawstring tie,5,Pyjama Pants Houndstooth Black Print
https://www.damensch.com/p/pyjama-pants-houndstooth-black-print,https://img.damensch.com/products-old/1284735_pajama-houndstooth-black-print_6.jpg,9,Detail: waistband logo,6,Pyjama Pants Houndstooth Black Print
https://www.damensch.com/p/pyjama-pants-houndstooth-black-print,https://img.damensch.com/products-old/1284735_pajama-houndstooth-black-print_7.jpg,10,Detail: side pocket,7,Pyjama Pants Houndstooth Black Print
https://www.damensch.com/p/boxer-shorts-havana-blue,https://img.damensch.com/products-old/card-boxer-shorts-solid-feature2.jpg,10,Feature: no-mark waistband + concealed button fly,3,Boxer Shorts Havana Blue
https://www.damensch.com/p/boxer-shorts-havana-blue,https://img.damensch.com/products-old/card-boxer-shorts-solid-range.jpg,11,Comparison chart: inner boxers vs boxer shorts,7,Boxer Shorts Havana Blue
https://www.damensch.com/p/boxer-shorts-havana-blue,https://img.damensch.com/products-old/card-boxer-shorts-solid-measurement.jpg,12,Size chart / measurements,8,Boxer Shorts Havana Blue
https://www.damensch.com/p/ribbed-cuban-collar-shirt-canyon-brown,https://img.damensch.com/products-old/catalog-striped-shirt-cb-new-5.jpg,6,"Fit guide (Regular fit, model stats)",5,Ribbed Cuban Collar Shirt Canyon Brown
https://www.damensch.com/p/vest-round-neck-chalk-white,https://img.damensch.com/products-old/card-bamboo-vest-feature2.jpg,8,Feature: Anti-bacterial / Thermoregulating,3,Vest Round Neck Chalk White
